epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7696,2.56018,3.52009,1.87366,0.22502,0.30986,0.16782,0.05389,2.44018,2.85261,1.79927,0.000551808,0.000551808,0.000551808
2,53.2533,2.38154,2.33444,1.75138,0.36852,0.40537,0.34092,0.11944,2.35172,2.41279,1.90524,0.0011072,0.0011072,0.0011072
3,75.6597,2.3704,2.1652,1.79369,0.42949,0.36908,0.30742,0.10826,2.29426,2.1289,1.8201,0.00166152,0.00166152,0.00166152
4,96.9804,2.29198,2.07042,1.74953,0.40634,0.38591,0.33783,0.11774,2.30762,2.09341,1.87049,0.00166334,0.00166334,0.00166334
5,117.963,2.30387,2.02708,1.72447,0.43251,0.41317,0.3652,0.13591,2.24387,2.04867,1.77179,0.00166049,0.00166049,0.00166049
6,139.244,2.2532,1.93924,1.69352,0.45844,0.42903,0.3875,0.14381,2.17227,1.9671,1.73544,0.00165684,0.00165684,0.00165684
7,161.11,2.24214,2.01514,1.69803,0.37202,0.47853,0.35665,0.12745,2.2701,2.02183,1.77657,0.00165238,0.00165238,0.00165238
8,186.535,2.22827,2.00221,1.6695,0.44272,0.42238,0.40323,0.14622,2.21064,1.99494,1.69205,0.00164713,0.00164713,0.00164713
9,214.211,2.13808,1.89216,1.62249,0.39055,0.44319,0.33046,0.11918,2.18966,2.05423,1.70297,0.00164108,0.00164108,0.00164108
10,240.493,2.14907,1.97812,1.60326,0.4003,0.41835,0.33436,0.11679,2.27073,1.99975,1.76502,0.00163424,0.00163424,0.00163424
11,265.234,2.15847,1.88934,1.63829,0.4691,0.37733,0.37938,0.14269,2.19143,1.98943,1.68861,0.00162661,0.00162661,0.00162661
12,290.054,2.14447,1.8304,1.59965,0.45811,0.4623,0.39888,0.14402,2.1671,1.89244,1.68606,0.00161822,0.00161822,0.00161822
13,314.945,2.14181,1.80745,1.60012,0.40938,0.49289,0.39877,0.14613,2.18965,1.96029,1.72921,0.00160905,0.00160905,0.00160905
14,338.015,2.10773,1.84781,1.58526,0.48664,0.46228,0.42068,0.15907,2.14792,1.89962,1.66762,0.00159913,0.00159913,0.00159913
15,361.847,2.12239,1.78555,1.58971,0.41631,0.48978,0.41473,0.14895,2.20141,1.8547,1.69461,0.00158847,0.00158847,0.00158847
16,386.357,2.12007,1.79011,1.57562,0.4552,0.44536,0.39926,0.14627,2.21583,1.99498,1.69403,0.00157706,0.00157706,0.00157706
17,411.147,2.12369,1.83893,1.62034,0.40918,0.44982,0.39738,0.14269,2.23112,1.94375,1.69524,0.00156493,0.00156493,0.00156493
18,434.935,2.07772,1.80507,1.55505,0.3913,0.4641,0.39786,0.14767,2.25761,1.94068,1.70667,0.00155209,0.00155209,0.00155209
19,461.372,2.06189,1.75638,1.54415,0.41327,0.53809,0.43022,0.16722,2.17056,1.81074,1.66665,0.00153854,0.00153854,0.00153854
20,485.041,2.05219,1.7681,1.55152,0.45412,0.4586,0.42237,0.15897,2.19861,1.90667,1.68333,0.00152431,0.00152431,0.00152431
21,508.537,2.07279,1.71904,1.55464,0.52329,0.47489,0.48442,0.17503,2.19334,1.79179,1.68117,0.00150941,0.00150941,0.00150941
